airlie_id,flght#,departure_dt,arrival_dt,dep_time,arrivl_time,booking_cd,passngr_nm,seat_no,class,fare,extras,loyalty_pts,status,gate,terminal,baggage_claim,duration_hrs,layovers,layover_locations,aircraft_type,pilot,cabin_crew,inflight_ent,meal_option,wifi,window_seat,aisle_seat,emergency_exit_row,number_of_stops,reward_program_member
6,2637,2023-06-26 00:11:20,2023-10-30 21:30:16,13:48:45,21:01:47,BQLF,Name_BANUL,SeatTWV,Economy,436.12,Meal,3649,Cancelled,GateZN,A,ClaimJLO,8.06,1,LOCWFQ,TypeRUH,Pilot_EYZH,Crew_DGAL,Yes,Non-Vegetarian,Not Available,True,True,False,2,Yes
5,6966,2023-04-27 21:36:15,2023-10-27 13:13:48,14:05:17,09:12:24,BZIL,Name_KANHR,SeatIGS,Economy,965.8,No Extras,2598,Pending,GateMH,D,ClaimCLJ,6.68,1,LOCGGR,TypeSRC,Pilot_OKTY,Crew_VNDX,No,Vegetarian,Not Available,False,False,False,2,No
12,5670,2023-03-31 15:08:52,2023-12-30 10:58:37,12:47:06,22:28:40,BQPB,Name_ECVFX,SeatJUH,Economy,329.94,Meal,0,Pending,GateUU,C,ClaimMPS,9.48,1,LOCLXB,TypeLSA,Pilot_UQZR,Crew_PKJB,No,Vegan,Available,False,False,True,0,No
1,6203,2023-08-04 16:59:58,2023-03-01 18:34:01,02:46:37,10:53:22,BRPJ,Name_UEUYB,SeatUUC,Economy,165.07,Meal,0,Confirmed,GateHX,A,ClaimUTO,1.98,0,LOCOGA,TypePNZ,Pilot_OLHE,Crew_AHUN,No,Vegetarian,Not Available,False,True,False,0,Yes
8,6134,2023-03-07 01:08:36,2023-03-30 04:51:17,13:46:28,07:10:26,BSDG,Name_CDWZA,SeatLTY,Business,491.32,Meal,0,Cancelled,GateXU,B,ClaimIKY,8.45,0,LOCWVX,TypeDLG,Pilot_DJHP,Crew_DZUM,Yes,Non-Vegetarian,Not Available,True,True,False,2,Yes
1,2890,2023-01-17 08:11:37,2023-10-24 01:31:46,02:58:15,11:42:36,BPSW,Name_PSZWH,SeatYPS,First,533.31,Meal,0,Confirmed,GateEP,B,ClaimHCR,6.4,2,LOCBXP,TypeENY,Pilot_MQAP,Crew_SIMT,Yes,Non-Vegetarian,Available,False,True,False,2,Yes
5,4205,2023-09-23 06:45:23,2023-05-28 08:46:14,12:03:42,07:17:26,BEEW,Name_BCNGM,SeatUHU,Business,438.34,Meal,0,Pending,GateSU,C,ClaimZGA,7.97,0,LOCEMT,TypeVRD,Pilot_PKTI,Crew_MXGP,No,Non-Vegetarian,Not Available,True,True,True,0,No
6,9669,2023-11-17 12:17:08,2023-03-05 11:03:39,19:12:05,06:40:04,BWGY,Name_GPCZE,SeatGLP,Economy,798.54,Extra Baggage,704,Cancelled,GateHM,D,ClaimEGR,10.95,1,LOCZZN,TypeWRC,Pilot_BYQB,Crew_TGMA,Yes,Vegan,Not Available,False,True,False,0,Yes
3,3366,2023-01-14 02:46:30,2023-12-10 07:52:08,17:37:22,22:33:03,BQAC,Name_WCXOT,SeatJCR,First,519.29,Meal,0,Cancelled,GateDT,D,ClaimRPX,8.9,1,LOCJIO,TypeWYU,Pilot_MIRC,Crew_FMOP,No,Vegetarian,Available,True,True,True,2,Yes
15,8559,2023-12-14 12:29:22,2023-09-28 11:45:44,00:23:18,12:15:00,BPVB,Name_KWREV,SeatRKY,Economy,340.43,No Extras,0,Pending,GateOL,C,ClaimLPL,2.4,2,LOCWUW,TypeTSO,Pilot_OQNZ,Crew_PTQN,Yes,No Meal,Not Available,True,True,False,0,Yes
